[2025-09-02 14:30:46.967] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardService[Tomcat]] to [INITIALIZED]
[2025-09-02 14:30:46.969] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardServer[-1]] to [INITIALIZED]
[2025-09-02 14:30:46.970] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardServer[-1]] to [STARTING_PREP]
[2025-09-02 14:30:46.971] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardServer[-1]] to [STARTING]
[2025-09-02 14:30:47.032] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@5807efad] to [STARTING_PREP]
[2025-09-02 14:30:47.032] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@5807efad] to [STARTING]
[2025-09-02 14:30:47.035] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [org.apache.catalina.deploy.NamingResourcesImpl@5807efad] to [STARTED]
[2025-09-02 14:30:47.038] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardService[Tomcat]] to [STARTING_PREP]
[2025-09-02 14:30:47.039]  INFO 15132 --- [           main] o.a.c.c.StandardService                  : Starting service [Tomcat]
[2025-09-02 14:30:47.040] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardService[Tomcat]] to [STARTING]
[2025-09-02 14:30:47.041] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardEngine[Tomcat]] to [STARTING_PREP]
[2025-09-02 14:30:47.042]  INFO 15132 --- [           main] o.a.c.c.StandardEngine                   : Starting Servlet engine: [Apache Tomcat/10.1.44]
[2025-09-02 14:30:47.047] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [SimpleRealm[StandardEngine[Tomcat]]] to [INITIALIZING]
[2025-09-02 14:30:47.050] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [SimpleRealm[StandardEngine[Tomcat]]] to [INITIALIZED]
[2025-09-02 14:30:47.050] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [SimpleRealm[StandardEngine[Tomcat]]] to [STARTING_PREP]
[2025-09-02 14:30:47.052] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [SimpleRealm[StandardEngine[Tomcat]]] to [STARTING]
[2025-09-02 14:30:47.053] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [SimpleRealm[StandardEngine[Tomcat]]] to [STARTED]
[2025-09-02 14:30:47.056] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardEngine[Tomcat].StandardHost[localhost]] to [INITIALIZING]
[2025-09-02 14:30:47.058] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardEngine[Tomcat].StandardHost[localhost]] to [INITIALIZED]
[2025-09-02 14:30:47.058] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardEngine[Tomcat].StandardHost[localhost]] to [STARTING_PREP]
[2025-09-02 14:30:47.060] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]] to [INITIALIZING]
[2025-09-02 14:30:47.668] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]] to [INITIALIZED]
[2025-09-02 14:30:47.669] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]] to [STARTING_PREP]
[2025-09-02 14:30:48.197] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [org.apache.catalina.webresources.StandardRoot@1cfc2538] to [INITIALIZING]
[2025-09-02 14:30:48.201] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [org.apache.catalina.webresources.StandardRoot@1cfc2538] to [INITIALIZED]
[2025-09-02 14:30:48.202] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [org.apache.catalina.webresources.StandardRoot@1cfc2538] to [STARTING_PREP]
[2025-09-02 14:30:48.211] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [org.apache.catalina.webresources.DirResourceSet@4548d254] to [INITIALIZING]
[2025-09-02 14:30:48.217] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [org.apache.catalina.webresources.DirResourceSet@4548d254] to [INITIALIZED]
[2025-09-02 14:30:48.218] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [org.apache.catalina.webresources.DirResourceSet@4548d254] to [STARTING_PREP]
[2025-09-02 14:30:48.218] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [org.apache.catalina.webresources.DirResourceSet@4548d254] to [STARTING]
[2025-09-02 14:30:48.222] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [org.apache.catalina.webresources.DirResourceSet@4548d254] to [STARTED]
[2025-09-02 14:30:48.224] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [org.apache.catalina.webresources.StandardRoot@1cfc2538] to [STARTING]
[2025-09-02 14:30:48.226] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [org.apache.catalina.webresources.StandardRoot@1cfc2538] to [STARTED]
[2025-09-02 14:30:48.228] DEBUG 15132 --- [           main] o.a.c.u.LifecycleBase                    : Setting state for [WebappLoader[StandardEngine[Tomcat].StandardHost[localhost].TomcatEmbeddedContext[]]] to [INITIALIZING]
